fltid,fltdesc,flttype
fltid251,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid252,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid253,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid254,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid255,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid256,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid257,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid258,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid259,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid260,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid261,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid262,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid263,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid264,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid265,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid266,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid267,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid268,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid269,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid270,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid271,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid272,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid273,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid274,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid275,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid276,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid277,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid278,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid279,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid280,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid281,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid282,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid283,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid284,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid285,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid286,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid287,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid288,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid289,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid290,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid291,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid292,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid293,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid294,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid295,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid296,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid297,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid298,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid299,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid300,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid301,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid302,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid303,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid304,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid305,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid306,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid307,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid308,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid309,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid310,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid311,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid312,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid313,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid314,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid315,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid316,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid317,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid318,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid319,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid320,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid321,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid322,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid323,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid324,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid325,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid326,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid327,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid328,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid329,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid330,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid331,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid332,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid333,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid334,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid335,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid336,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid337,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid338,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid339,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid340,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid341,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid342,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid343,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid344,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid345,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid346,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid347,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid348,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid349,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid350,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid351,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid352,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid353,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid354,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid355,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid356,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid357,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid358,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid359,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid360,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid361,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid362,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid363,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid364,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid365,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid366,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid367,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid368,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid369,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid370,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid371,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid372,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid373,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid374,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid375,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid376,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid377,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid378,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid379,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid380,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid381,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid382,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid383,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid384,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid385,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid386,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid387,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid388,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid389,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid390,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid391,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid392,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid393,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid394,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid395,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid396,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid397,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid398,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid399,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid400,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid401,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid402,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid403,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid404,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid405,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid406,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid407,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid408,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid409,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid410,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid411,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid412,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid413,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid414,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid415,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid416,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid417,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid418,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid419,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid420,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid421,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid422,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid423,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid424,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid425,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid426,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid427,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid428,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid429,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid430,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid431,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid432,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid433,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid434,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid435,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid436,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid437,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid438,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid439,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid440,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid441,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid442,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid443,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid444,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid445,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid446,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid447,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid448,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid449,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid450,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid451,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid452,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid453,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid454,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid455,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid456,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid457,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid458,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid459,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid460,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid461,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid462,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid463,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid464,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid465,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid466,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid467,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid468,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid469,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid470,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid471,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid472,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid473,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid474,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid475,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid476,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid477,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid478,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid479,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid480,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid481,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid482,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid483,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid484,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid485,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid486,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid487,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid488,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid489,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid490,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid491,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid492,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid493,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid494,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid495,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid496,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid497,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid498,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid499,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid500,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
